din­ing	!din­ing/JJ NN
boutique	NNS NN NN NN !boutique/NN NN NN
calendula	VV CD NN IN NN NN !calendula/NN NN NN NN
enegitech	CD NN IN VV IN !enegitech/NN NNS
2,500	VV RB TO CD NN RP IN IN !@card@/CD NNS
hemnes	!hemnes/NNS NNS VVD NN IN CD NNS IN NN
charcoal	!charcoal/NN
discovery	VV CD NN IN NN NN !discovery/NN NN NN
$4.41	IN !$4.41/NN
disney/	VV CD NN IN !disney//JJ NN NNS VVP NN
jurassic	VV CD NN IN NN NN NN !Jurassic/JJ NN NN
clancys	NN !clancys/NNS NN NN JJ NN IN NN
times	VV CD NN IN JJ JJ VV !time/CC VV NNS SYM CD NN IN JJ
pals	CD NN IN NN NN JJ NN !pal/NNS
smartphones	VV CD NN VV IN NN VVD !smartphones/NNS
almond+	VV CD NN IN NN !almond+/NN JJ NN NN NN NN NN NN
smartech	NN !smartech/NN JJ JJ NN NN JJ NN NN
narnia	CD NN IN !narnia/NN
kodi	VV CD NN IN !kodi/NP JJ NN NN NN NN NN NN VVG NN NN JJ CD NN NN NN NP NP
baker	CD NN IN NP JJ !baker/NN
1875	VV CD NN IN NN !@card@/CD NN JJ JJ NN
deadbolt	VV CD NN IN NN NN NN NN !deadbolt/NN
fever	VV NN !fever/NN NN CC NN CC VV DT JJ NN
raclette	CD NN IN NN NN NN CC !raclette/NN NN
six	NN !six/CD
accessories&	!accessories&/JJ JJR NNS
tank	VV NN !tank/NN IN NNS IN NN RB SYM IN CD NN IN JJ NNS
laying	JJ NNS VVP DT NN NN !lay/VVG DT NN
selector	VV CD NN IN JJ NNS VVP NN !selector/NN IN JJ NN
3:00	IN CD VBP TO !@card@/CD NN CC
10-15	NN IN !@card@/CD NN IN JJ NN NN
goty	NN NN NN !goty/NN IN NN
melodies	!melody/NNS NN FW NN NN
pops	VV PP VV CD CD NN RB !pop/VVZ
loose	LS RB VVN CC !loose/JJ NN NNS
st	JJ !st/NNS
daisies	NN NN NN IN DT JJ !daisy/NNS NN IN JJ NN IN CD RB
t-shirt	VV RB TO CD NN IN !T-shirt/NN NNS
program	NN NN VVZ !programme/NN NNS
japanese	VV RB TO CD NN IN NP !Japanese/JJ NN NNS
sloane	VV CD NN IN VV !sloane/NN
daves	NN IN !daves/NNS JJ NN NN
7.1	VV CD NN IN NN NN NN NN !@card@/CD NN NN NN
cide	VVG SYM JJ NN IN JJ NP !cide/NN
gazebo	VV CD NN IN NN CD NNS NN !gazebo/NN NN
holiday	NN NN !holiday/NN NNS NNS
suitcase	NN NN DT NN NN !suitcase/NN
$119.99	IN !$119.99/NN
california	VV CD NN IN JJ NN IN !california/NN NNS
extenders	VV CD NN IN NP NP NN !extender/NNS
secord	NN !secord/NN NN
tins	VV CD NN NN !tin/NNS
blu	VV CD NN IN !blu/NN NN IN NP SYM JJ NN VVD NN
shredder	VV CD NN IN NNS VVD CD NN NN NN !shredder/NN
70	VV RB TO !@card@/CD NN IN JJ NNS
stamina	VV CD NN IN !stamina/NN NN NN NN
b50	JJ NN SYM !b50/JJ JJ NN IN NN
w.	!w./JJ JJ NNS NN NNS
cave	VV CD NN IN JJ NN NN JJ NNS VVG NN !cave/NN NN
$59.99	IN !$59.99/NN
boxwave	NN NN JJ !boxwave/NN NNS NN
are	VV CD NN IN !be/VBP PP VBG VVN
4-person	!4-person/JJ NN NN
ksm95er	JJ !ksm95er/NN NN NN NN NN
headboard	NN !headboard/NN NN JJ RB
will	NP NP !will/MD VV JJ NN NNS
panty	VV JJ !panty/JJ
friend	NN CC JJ !friend/NN NNS
craft	VV CD NN IN NP VVD NN IN !craft/NN NN
timex	NN IN !timex/JJ NN NNS
hooray	NN NN !hurrah/NNS IN NN NN
suzy	!Suzy/NN NN NN NN
enviro	VV CD NN IN JJ NN !enviro/NN NN VVG JJ NN NN VVN IN NN
bath	!bath/NN
indulge	VV PP$ NNS NN !indulge/VV IN NN
padova	NP NP !padova/NN NN VVN IN JJ
2019	NP NP RB !@card@/CD NN
$21	VV CD NN IN JJ NNS SYM JJ NN IN !$21/JJ NNS
hudsons	!hudsons/NNS NN NN NNS
ninjago	DT NN !ninjago/NN NN IN JJ NN
step2	VV CD NN IN !step2/JJ JJ
thursdays	NNS VVP PP !Thursday/NNS NNS
inventory	!inventory/NN NN CD NN RP
harnessed	CD NN IN NN JJ NN !harness/VVD NN
cs5	NN !cs5/NN NP CD JJ JJ NN IN NN
fries	JJ JJ NN !fry/NNS
masterpiece	DT !masterpiece/NN NN CD NNS
wainthropp	VV IN CD NN NN !wainthropp/NP VVZ
pond	JJ NNS VVP DT NN !pond/NN
3m	CD NN IN !3m/JJ NNS NN NN NN
merlin	VV CD NN IN !merlin/NN
sk	!sk/NN
cbcf	NN !cbcf/NN NNS
rollers	VV CD NN IN NN NN NN NN NN JJ NN !roller/NNS
saving	NN IN NN NN NN NN JJ VVG NN NN !saving/VVG NN
only*	NN !only*/NN JJ NN
hat	VV NN NN NN JJ NN JJ NN NN IN NN !hat/NN
$1.79	VV NNS IN NN NNS IN !$1.79/NN RB
downloading	VV DT JJ NN IN !downloading/VVG DT NN JJ NN NNS
tracker	VV CD NN IN NN !tracker/NN NP NN CD NN JJ NN
scarlet	JJ !scarlet/JJ
k&h	CD NN IN !k&h/NN VVG JJ NN NN
veras	!veras/NN NN NN
buster	NN JJ NN !buster/NN
]	NNS CD SYM JJS !]/SYM NN IN NNS
48	VV !@card@/CD NN IN JJ
hilfiger	NN !hilfiger/NN NN NN
sentrysafe	VV CD NN IN !sentrysafe/NN NN JJ CD JJ NNS
shipping	JJ !shipping/NN IN DT NNS
stytles	VV CD NN IN NP JJ VVN !stytles/NNS
woolite	!Woolite/NN CC JJR NNS VVP CD TO CD
eyeshadows	LS RB VVN CC JJ NN !eyeshadows/NNS
scarf	VV CD NN RP IN NN NN !scarf/NN RB IN RB JJ
home	!home/NN NNS
gods	CD NN IN JJ !god/NNS NN CD
14k	!14k/NP VVD NN
todys	NN NN !todys/NNS NNS
$32.25	IN !$32.25/NN
temple	CD NN IN NN NN NN !temple/NN NN
proclean	VV NN IN DT JJ !proclean/JJ NN NN NN
furby	VV CD NN IN !furby/NNS VVP
energizer	!energizer/NN NN CD CC CD NN NNS IN NN
kreme	NN !kreme/NN NN
macys	!macys/NP NP JJ JJ NNS
promocode	NNS NN NN NNS !promocode/NN NN
promotion	NN NN NN !promotion/NN
jockeys	VV CD NN IN JJ !jockey/NNS NNS
tungsten	CD NN IN JJ !tungsten/NN NN NP NN NN VVP JJR
via	!via/IN NN NN NN NNS NNS
like	DT JJ JJ NN VVN !like/IN DT NN SYM DT JJ CD IN CD NN NN NN IN RB JJ
medal	VV NN IN !medal/NN IN NN
plunge	NN NN NN !plunge/NN NN
1137680as	VV NP !1137680as/NP NNS VVN IN CD
wilton	VV CD NN IN !Wilton/NN NN RB JJ NN VV NN
begin	NP NP JJ NN NNS !begin/VVP IN NN CD
quietset	VV CD NN IN NN !quietset/NN NN NN CD NN
tom	VV CD NN IN !tom/NN NN NN NN VVG NN NN
ambiance	JJ RB JJ SYM CD IN CD NN NN NN SYM CD IN CD !ambience/NN NNS
preservation	VV CD NN IN NN JJ NN CC NN !preservation/NN NN
$150+	VV CD NN IN NP JJ NN NNS SYM RB TO CD NN IN NP VVZ SYM NN IN PP$ !$150+/JJ NN
sized	NN NNS JJ !size/VVD NN
2016*	!2016*/JJ
isaay	!isaay/NN
ksc75	NN !ksc75/NN JJ NN NN IN NN
roundup	JJ NNS !roundup/NN
low-fat	VV DT NN NN CC !low-fat/JJ NN NN VVP JJ IN NN
$11.11	IN !$11.11/NN VVP DT JJ
47-inch	NN NN NN NN JJ IN !47-inch/JJ IN $ CD
10*30	VV CD NN IN NN NN !10*30/JJ NN VVG JJ
litre	VV DT JJ NN NN IN CD !litre/NN NN IN NN DT
$34.95	VV NN JJ NN NN IN NNS IN !$34.95/NN IN NN
7*5	VV CD NN IN NN NN !7*5/JJ JJ NN
granola	JJ NN IN JJ NN NN CC JJ !granola/NN
anti-colic	VV CD NN IN NNS NN JJR TO NN !anti-colic/JJ NN NN
irish	!Irish/JJ NN JJ NN NN NN IN NN
varieties	VV JJ IN JJ !variety/NNS JJ NN CC NN NN NN
illustrated	NNS !illustrate/VVD
$159.97	JJ NN CD NN NN NN NN IN !$159.97/JJ
2,000	!@card@/CD NN NNS MD VB VVN
$749.00	VV !$749.00/NN
$4	!$4/NN IN VVZ NN VVZ
15-16	NN NN !@card@/CD
quesarito	!quesarito/NN NN IN CD IN JJ NN
lightning	VV CD NN IN NN NN TO NN !lightning/NN NP NN
socks	!sock/NNS
cola	DT JJ NN !cola/NN NN IN JJ NN
tiger	VV RB TO CD NN IN !tiger/NN NN CC JJ NN NN
candle	VV CD NN IN !candle/NN IN DT NN JJ NN
$165	VV NN IN JJ NN SYM VV DT NN NN IN !$165/NN IN NNS IN NN IN JJ NN NN
twist-n-turn	NNS !twist-n-turn/NN NN VVD
adler	VV NN !adler/NN NN JJ NN JJ NN NN IN NN NN
rock	VV CD NN IN JJ JJ !rock/NN NN VV JJR JJ NN
hits	VV CD NN IN NN NN !hit/VVZ JJ JJ NN NN
lean	!lean/JJ NN JJ NNS
bionaire	VV CD NN IN !bionaire/NN CD NN JJ NN JJ NN NN NN NN IN NN CC NN
fabric	CD NN IN JJ NN NN VVD !fabric/NN NN
$19.59	!$19.59/NN IN JJ NN NNS
minkoff	VV CD NN IN NN !minkoff/NN JJ NN NN NN
pavestone	JJ NNS VVP DT !pavestone/NN NN VVG DT NN
rachael	CD NN IN !Rachael/NP NN NN NN NN
swift	CD NN IN NNS !swift/JJ CD NNS
fizzics	CD NN IN !fizzics/NN NN NN NN
crops	!crop/NNS
rosewill	VV CD NN IN !rosewill/NN CD NN NN NN NN IN NN VV
cardigans	VV NP NN !cardigan/NNS IN JJ
moto	VV CD NN IN JJ FW NN !moto/NN NN IN JJ NN
rarity	VV CD NN IN PP$ JJ NN !rarity/NN NN NN NN
shank	VV CD NN IN NN CD NN !shank/NN NN NN NN SYM JJ NN IN JJ NN
access	VV CD NN IN VV NN VV DT !access/NN NN VV
refer	!refer/VVP CD NNS VV RP CC VV CD NN RP
must	NN NNS !must/MD VV NN
nutrition	VV NN VV NN IN JJ !nutrition/NN
stand-natural	VV CD NN IN JJ JJ NN NN IN JJ NN NN !stand-natural/JJ CD JJ
2016/	JJS VVP NN JJ NN NN NN VVZ !@card@/CD CD
figures	CD NN IN JJ NN !figure/NNS
$1.97	CD JJ NNS IN !$1.97/JJ IN NN
totally	!totally/RB NN NN VVG NN IN NN
blossom	VV CD NN IN NN NN !blossom/NN JJ NN NN
mail-in-rebate	NN CD NN NN NN IN NN CC NN !mail-in-rebate/NN
soil	VV NN IN JJ NN NN JJ !soil/NN
joyful	VV DT VB !joyful/JJ NN JJ IN JJ NN
resolution	VV CD CD NN IN NNS !resolution/NN NN NN
sonrisa	VV CD NN IN NN NN !sonrisa/NN JJ NN NN NN
screw	JJ JJ !screw/NN NN IN JJ
luigi	CD NN IN JJ NN NN !luigi/NN JJ JJ
9-pieces	!9-pieces/NNS IN NNS CC NNS IN JJ NN SYM NN NN JJ JJ NNS
windows	VV CD NN IN NN !window/NNS CD JJ NN NN NN
$54.99	VV NP NP JJ NN NN IN !$54.99/NN
lexi	NNS IN !lexi/NN CC NN IN NN
rootbeer	JJ !rootbeer/NN
123inkcartridges	!123inkcartridges/NP NP NNS
grillers	JJ JJ !griller/NNS CC NNS IN NN NN
3d	CD NN IN NN NN !3d/JJ NN NN
rocketbook	CD NN IN !rocketbook/NN NN JJ JJ NN
henleys	!henleys/NNS
advanced	VV CD NN IN JJ !advanced/JJ NN VVG CC NNS JJ NNS
wholesale	NP !wholesale/JJ NN JJ NNS IN NN
bbc	VV CD NN IN !bbc/NN NN
litter	VV CD NN IN NN JJ JJ NN !litter/NN NN IN NN
ps	!ps/JJR NN NNS NN NN
towel	VV CD NN IN NN CD NN !towel/NN NN
kidtrax	VV CD NN IN !kidtrax/NP NP NP NN NN NN
koss	VV CD NN IN !koss/NN NN NN
ariat	VV RB TO CD NN IN !ariat/NN NNS
15x	!15x/NP
snugabunny	VV CD NN IN NN PP$ JJ !snugabunny/NN JJ NN
$28.50	CD IN !$28.50/NN
$75	VV NN WRB PP VVP !$75/NN
cambridge	VV DT NN !cambridge/NN NN VVG NN IN RB JJ IN NN
moana	VV CD NN IN NN !moana/NN IN NN NN NN
$299.99	RB IN !$299.99/NN
$699.97	NN CD NN IN !$699.97/JJ
82h1c	NN NN NN !82h1c/JJ JJ JJ NN
duffel	VV CD NN IN NNS JJ CD NN JJ !duffel/NN NN
growler	VV CD NN IN NP VVD !growler/NN IN NN NN
pairings	NN NNS VVG JJ !pairing/NNS NN
zip	NN NNS VVD JJ !zip/NN NN IN NN
$12.88	CD NN JJ JJ NN NNS IN !$12.88/NN
hillcrest	JJ JJ NN !hillcrest/NN NN NN
climber	CD NN IN JJ NN NN NN !climber/NN
vivere	VV CD NN IN !vivere/JJ JJ JJ NN NN IN CD NN CC VV NN
activia	VV NN IN NN !activia/NN NN NN SYM IN NN IN NN NN JJ
numax	CD NN IN !numax/NN NNS
and	NP NP JJ NN NNS !and/CC NNS IN NN CD
essentialapparel	!essentialapparel/NN NN
jamieson	!jamieson/NN NNS
cuff	CD NN IN NN !cuff/VV NN NN
cold-fx	CD NN IN !cold-fx/NN
vests	!vest/NNS IN NN CC CD NN IN JJ NN JJ NN
eggs	JJ NN IN CD NN !egg/NNS IN JJ NN SYM JJ NN NN NN JJ IN PP$ JJ JJ NN
1000s	VV CD NN IN PP$ NN SYM NN NN !1000s/JJ IN NNS IN NN
99	VV DT NN IN !@card@/CD NNS
lucia	!Lucia/NP
lineup	JJ NN !lineup/NN IN NN NNS SYM IN CD NN IN DT NNS
kung	VV CD NN IN !kung/NP NP NN CD
tough	CD NN IN JJ NP !tough/JJ NN
2199	CD NN IN NN NNS NN NN NP !@card@/CD
$9.29	CD MD VV IN !$9.29/NP SYM JJR NNS
cranberries	VV DT NN !cranberry/NNS
25%-35	VV DT JJ !@card@/CD NN IN NP NN NN
mail-in	IN !mail-in/NN NN
pj	JJ JJ NN IN DT NN SYM IN CD NN JJ NNS SYM CD NN JJ NNS SYM CD NN IN !pj/VVG NNS SYM JJR NNS
already-reduced	VV DT JJ CD NN IN !already-reduced/JJ NN
formula	VV CD NN IN NN NN !formula/NN NN
teksavvy	!teksavvy/JJ NNS
feelings	CD NN IN JJ !feeling/NNS NN CC VVZ
300i	NN NN !300i/JJ JJ JJ IN NN
certified	VV IN !certified/JJ VVN NNS
photoshop	VV CD NN IN NN !photoshop/NN NNS
punch	NNS VVD JJ JJ NN IN DT NN JJ !punch/NN
aero	!aero/NN
another	DT JJ NN IN JJ !another/DT NN
hl3140cw	VV CD NN IN NN NN !hl3140cw/JJ JJ NN NN NN IN NN NN
flesh	DT !flesh/NN
inch	VV CD NN IN NN CD !inch/NN NN NN NN NN NN
m&m	!m&m/NN NN NNS NN NNS
nutri-ninja	NN NN NNS NNS VV CD NN IN NN NN !nutri-ninja/NN JJ NN
$1500	VV DT CD NN NN IN NN IN NN IN !$1500/NN
life	VV CD NN IN JJ !life/NN NN CC JJ NN JJ JJ NN NN
brunswick	JJ !brunswick/NN
$199.95	RB IN RB !$199.95/JJ
strapless	!strapless/JJ NNS
kenmore/	VV !kenmore//JJ NN CD NN
rustic	VV CD NN IN NN !rustic/JJ NN NN
8-film	DT JJ !8-film/JJ NN
spartacus	CD NN IN !spartacus/NN
17	MD !@card@/CD
van	CD NN IN !van/NP NP JJ NN NN NNS
jewellery	VV CD NN IN JJ !jewellery/NN
5ft	CD !5ft/NN
faves	CD NN IN NN !faves/NNS
works	NN !work/VVZ NN NNS
chicke	JJ NN CC DT NN IN JJ NNS CC JJ JJ !chicke/NNS IN NN
opolar	CD NN IN !opolar/JJ JJ NN VVG NN
$100+	VV CD NN IN PP$ NN IN !$100+/NN IN NP NN
midwife	VV VV DT !midwife/NN
interactive	!interactive/JJ NN
doritos	CD !doritos/NNS JJ NN NN IN RB JJ
hydrator	JJ JJ !hydrator/NN NN IN JJ NN
madisson	VV CD NN IN JJ NNS !madisson/NN JJ JJ NN
quebec	!Quebec/NN
sew	CD NN IN !sew/VV JJ NN NN
standout	VV DT NNS IN NN IN !standout/NN NNS
cinnabon	!cinnabon/NN NN NNS
weeks	VV NN IN PP$ JJ NN IN NN DT !week/NNS NN NN NN
guarding	VV CD NN IN JJR JJ JJ NN NN NN VVD IN NN JJ !guard/VVG NN
fashions	NP !fashion/NNS
pepsi	JJ JJ NN NN IN DT NN IN !Pepsi/NNS
stroller	CD NN IN NN NN JJ NN !stroller/NN
1pm	JJ NNS IN NN NNS NNS NP !1pm/NP
decker	!decker/NN JJ NN NN
temper-pedic	VV CD NN IN !temper-pedic/JJ NNS
hamilton-beach	VV CD NN IN !hamilton-beach/NN JJ NN CD NN NN
needed	DT NN !need/VVD
recovery	VV CD NN IN NN !recovery/NN NNS
spas	!spa/NNS
hawaiian	JJ NN CC !Hawaiian/JJ NN IN NN
forces	VVN NNS IN DT JJ JJ !force/NNS MD VV JJ NN IN NN NNS NN RB MD JJ
autocam	VV NN IN !autocam/JJ JJ NN NN IN JJ NN
i3	NN CD CD NN !i3/NN NN IN NN
manitoba	!manitoba/NN
xl	VV DT JJ NN IN DT VVG IN RB NN CC !xl/NN IN NN
24-stem	NNS NN JJ !24-stem/JJ JJ NNS IN NN
hatching	VV CD NN IN NNS !hatch/VVG NN JJ NN VV JJ JJ NN IN NN NN
mystery	NN NN !mystery/NN NNS VVG IN NN
airlines	NN !airline/NNS NN NN
nutty	!nutty/JJ IN NN CD IN JJ NN
combinations	VV CD NN IN DT NN NN !combination/NNS
sink	VVP VVZ VV JJ !sink/NN
0.5ct	VV CD NN IN JJ NP JJ NN !0.5ct/NN NN NN NN
$18.99	VV NN NN IN !$18.99/NN
joy-con	NN NN VV NN NN CC NN JJ !joy-con/NN NN IN NN
education	VV CD NN IN NN !education/NN JJ NN VVN
$115	IN !$115/JJ NN
oetker	!oetker/JJ NN NNS
soldier	NN NNS NN NN JJ !soldier/NN IN NN
unscented	!unscented/JJ
yorkdale	NP JJ NN NNS JJ IN !yorkdale/NP
cooking	CD NN IN NP JJ !cooking/NN NN
100th	JJ !100th/JJ NN NN IN NN
$6.98	NN IN !$6.98/NN CC NN IN NN
drainer	CD NN IN NN JJ JJ NN !drainer/NN
nipper	VV CD NN IN NP CD NN CD JJ NN !nipper/NN IN NN
6v/	CD NN IN NN NN NN !6v//JJ NP JJ JJ JJ NN NN CC NN
gucci	!Gucci/NP NP NN
ending	NN NN RB IN NN !end/VVG NN JJ
metallic	!metallic/JJ NN
happily	CD NN IN NN NNS !happily/RB RB JJR
$13.49	VV NN NN IN !$13.49/NN
subsription	VV DT JJ NN !subsription/NN
$39	IN !$39/JJ NN SYM NN IN NN NN IN NN IN NP NN
loader	CD NN IN NN NNS JJ !loader/NN NN
spoon	CD NN IN NN JJ NN NN NN IN JJ !spoon/NN
swiftwater	VV NN NP !swiftwater/NN NN
lit­tle	VV NN IN NN IN NN NN CC !lit­tle/NN NN NNS
$59.83	NNS NN NNS JJ IN !$59.83/NN
crocker	VV CD JJ JJ !crocker/NN NN WRB PP VVP JJ VVG NNS
bistro	VV CD NN IN NN NN NN !bistro/NN NN
gleam	CD NN IN NN !gleam/NN JJ NN
month	NP NP NN NN JJ NNS IN DT !month/NN
these	CD !these/DT NN
weekend	NN !weekend/NN NNS
fpv	VV CD NN IN NP NP !fpv/NN NN
reflections	JJ !reflectance/NNS NN VVZ
5:00	NN CD VBP !@card@/CD NN
coating	NNS JJ NP JJ NN !coating/NN
trixie	VV CD NN IN !trixie/NN JJ NN NN
$389.00	VV NN IN VV NP NN CD NN NN NN JJ NN IN !$389.00/NN
nike	!nike/NN NN JJ NN CD NN NN
computers	NN !computer/NNS
knight	DT JJ !knight/NN NN
appetit	VV CD NN NNS IN DT NN VVN IN NN !Appetit/NN NN NNS
$9.47	JJ JJ NN NN IN !$9.47/JJ
mover	CD NN IN NP JJ JJ NN !mover/NN
scotts	VV NN IN !scotts/JJ NN NN JJ NN
$4.82	NN VVP NN NN NN RB IN RB !$4.82/NP
ecovacs	VV CD NN IN !ecovacs/NNS JJ NN SYM JJ JJ NN NN
packed	VV CD NN IN NP !pack/VVD NP
mats	NNS CC NN !mat/NNS IN CD NN CD NN RP
90	VV !@card@/CD NN
$23.50	CD IN !$23.50/NN CC CD IN NN
gett	!Gett/NP JJ NN NN NP NN NN
$70	CC NN NNS NN SYM RB TO !$70/NN IN JJ NN NNS
marvel	VV CD NN IN JJ !marvel/VV NN NNS
throughout	NN CD VVP CD JJ !throughout/IN DT JJ NN
plays	JJ NN IN NNS DT NN NN NN !play/VVZ IN DT NN NN IN NN
$249.99	NP NN NN IN !$249.99/NP SYM CD NN IN JJ JJ NNS IN NP
$449.98	VV NP CD VVD JJ NN VVN IN !$449.98/NN
accent	VV CD NN IN RB NN NN !accent/NN NN
hydrangeas	VV NN IN CD !hydrangea/NNS
hines	JJ IN NN !hines/NNS VVD NN NN NN
seamless	VV CD NN IN JJ !seamless/JJ NN IN NN CD JJ NN
purple	CD NN IN NN NN !purple/JJ NN NN NN
olay	CD NN IN !olay/NN
aussie	VV CD NN IN !Aussie/NN JJ NN NN NN NN
indoor	!indoor/JJ NN NN NN NN NN
oils	VV CD NN IN JJ JJ !oil/NNS
markdowns	VV RB TO CD NN IN !markdown/NNS IN CD JJ NNS JJ
magical	NN NN NN NN IN NP SYM CD NN IN JJ JJ NNS NN NN !magical/JJ NN NN
individual	!individual/JJ NNS IN NP SYM JJR NNS NNS
vitrocor	!vitrocor/NN
supergate	VV CD NN IN JJ NN !supergate/NN RB
4ml	!4ml/JJ NN
ash	VV CD NN IN NN JJ JJ NNS !ash/NN NN JJR
mr	CD NN IN !Mr/NN
fashionistas	NN IN JJ NN SYM CD NN IN NN !fashionistas/NNS NN JJ CD NN
makartt	CD NN IN !makartt/NP NN NN VVG NN
bookcase	VV CD NN IN JJ NN NN JJ NN NN !bookcase/NN
east	!east/JJ NN NNS NN NNS
chapter	VV JJ !chapter/NN DT VVZ CD NN IN RB JJ
nut-thins	VV NN IN JJ NN !nut-thins/NNS IN JJR NNS NNS NNS IN VV IN NNS
