#31	VV CD CD NN IN NN NN !#31/NN
$	IN !$/$ CD
$12	NNS IN !$12/NP SYM NN NNS IN NN
$12.00	IN !$12.00/NN
$12.44	!$12.44/JJ NN NN IN NN JJ
$12.49	NN CD MD VV IN !$12.49/NN
$12.5	NN IN !$12.5/NN
$12.50	JJ NNS IN !$12.50/NN DT
$12.59	NN JJ NN IN !$12.59/NN
$12.77	IN !$12.77/JJ
$12.79	CD NNS IN !$12.79/NN
$12.88	CD NN JJ JJ NN NNS IN !$12.88/NN
$12.90	VV JJ NN VVG IN !$12.90/NP SYM JJ NN IN DT NNS NN
$12.95	VV CD NN IN PP$ JJ NN SYM JJ NNS IN !$12.95/NP SYM NN NN
$12.97	IN !$12.97/JJ
$12.98	VV NN IN CD IN !$12.98/NN
$12.99	VV CD NN CD VVG NN CC JJ NN IN !$12.99/NN
$120	VV RB TO CD NN JJ NN SYM NN IN !$120/JJ VVG NN
$120.00	VV !$120.00/JJ
$121.09	IN !$121.09/NN
$122.99	VV NN NNS CD IN NN IN !$122.99/NN
$123	IN !$123/JJ NN
$124.99	DT JJ NN IN !$124.99/NN
$125	IN PP$ NN NN IN !$125/NN
$125+	IN DT !$125+/JJ NN
$127	!$127/JJ NN
$127.99	JJ NN NN JJ NN IN !$127.99/NN
$129	VVN NN NN IN !$129/NN
$129.87	RB IN !$129.87/JJ
$129.96	NN JJ IN !$129.96/NN
$129.97	RB IN !$129.97/JJ
$129.99	!$129.99/NN IN NN NN JJ NN
$13	VV RP TO !$13/NN RB VVZ NNS SYM JJ NN
$13.19&	NNS JJ JJ NN NN NN NN IN !$13.19&/JJ JJR NNS
$13.25	CD NN IN DT NN SYM CD MD VV NN NN IN !$13.25/NN
$13.29	CD NN DT NN NN NN NNS SYM CD NNS IN !$13.29/NN
$13.49	VV NN NN IN !$13.49/NN
$13.50	!$13.50/JJ DT
$13.59	!$13.59/JJ NN JJ JJ NN NN NN NN
$13.60	VVG NNS IN !$13.60/NN
$13.69	CD MD VV JJ NN NNS IN !$13.69/NN
$13.85	IN !$13.85/NN
$13.95	NN VV NN IN DT JJ NN SYM JJ NNS !$13.95/NN DT
$13.99	CD MD VV NN IN JJ !$13.99/NN
$130	DT !$130/JJ NN
$130+	VV NN IN PP$ NN IN !$130+/NN
$1300	!$1300/NN
$131.39	IN !$131.39/NN
$134.99	NN NN CD CD NN NN IN !$134.99/NN
$135	VV !$135/NN RP IN JJ NN
$135.04	IN !$135.04/NN
$136	NN IN !$136/NN
$137	NN !$137/JJ
$137.50	IN !$137.50/NN
$137.99	IN !$137.99/NN
$138.00	NN NN JJ NN IN !$138.00/NN
$139	NN NN NN !$139/NN
$139.99	NN NN NN IN !$139.99/NP SYM CD NN IN JJ JJ NN
$14	!$14/JJ NN
$14.25	CD MD VV CD NN NN IN !$14.25/NN
$14.28	VV NN NN VVZ CD NN NN VV VVN IN !$14.28/NN
$14.37	IN !$14.37/JJ
$14.48	CD NN IN !$14.48/NN
$14.49	SYM JJS SYM NN SYM JJ NN SYM IN JJ !$14.49/NN
$14.5	!$14.5/JJ NN
$14.50	NN IN !$14.50/NP
$14.58	IN !$14.58/NN
$14.69	CD MD VV JJ NN IN !$14.69/NN
$14.88	NP NNS IN !$14.88/NN
$14.94	RB IN !$14.94/NP
$14.95	CD NNS IN !$14.95/NP SYM JJ NN
$14.97	NN NN NN NN IN !$14.97/JJ
$14.98	VV NN IN CD IN !$14.98/NN IN NN
$14.99	CD MD VV IN !$14.99/NN
$140	VV !$140/NN IN NN NN JJ JJ NN NN NN
$144.99	IN !$144.99/NN
$1450	VV !$1450/JJ
$146	NN NN NN NN NN IN !$146/NN
$149	RB !$149/JJ
$149.91	IN !$149.91/NN
$149.95	NN IN !$149.95/NN
$149.97	RB JJ NN IN !$149.97/JJ
$149.99	NN IN !$149.99/NN
$15	RB TO !$15/JJ NN
$15+	VV NN IN PP$ NN IN !$15+/NN IN JJ NN NN
$15.00	VV !$15.00/NN IN NN
$15.15	JJ NN IN !$15.15/NN
$15.29	IN !$15.29/NN
$15.49	NN NNS VVN IN RB !$15.49/JJ
$15.80	VV NN NP JJ NN NN NN IN JJ !$15.80/NN
$15.87	NN NN NNS JJ NN NN NN JJ NN IN !$15.87/JJ
$15.97	IN !$15.97/JJ
$15.98	NNS IN !$15.98/NN CC JJR NNS
$15.99	IN !$15.99/NN
$150	VV NN WRB PP VVP !$150/NN
$150+	VV CD NN IN NP JJ NN NNS SYM RB TO CD NN IN NP VVZ SYM NN IN PP$ !$150+/JJ NN
$150.84	NN IN !$150.84/NN
$1500	VV DT CD NN NN IN NN IN NN IN !$1500/NN
$151	RB TO !$151/NN RP
$154	!$154/JJ NN
$157	!$157/JJ NN
$158	!$158/JJ NN
$159	NNS !$159/NN
$159.73	IN !$159.73/NN
$159.97	JJ NN CD NN NN NN NN IN !$159.97/JJ
$159.98	IN !$159.98/NN
$159.99	RB IN !$159.99/NN
$16	NN IN NN SYM !$16/JJ JJ NNS NN
$16.09	IN !$16.09/NN
$16.48	IN NN NP NN NN NN IN !$16.48/NP
$16.49	CD NN NN JJ IN !$16.49/NN
$16.50	!$16.50/JJ DT NN
$16.52	JJ NN IN NN NN IN !$16.52/NN
$16.87	NN NN NN IN !$16.87/JJ
$16.95	!$16.95/JJ NN
$16.98	NN CD JJ NN JJ JJ NN IN !$16.98/NN
$16.99	!$16.99/JJ IN CD NNS IN NN NN SYM JJ NNS SYM CD NNS IN NN
$160	!$160/JJ NN
$1600	VV !$1600/NN IN JJ JJ NN NN JJ NN NN
$163	VVN NN !$163/NN
$164	VV CD NN JJ NN SYM VVG NN IN !$164/NP SYM NNS NN NN
$164.01	VV !$164.01/JJ CD NN RP
$164.99	NN NN CD NN NN IN !$164.99/NN
$165	VV NN IN JJ NN SYM VV DT NN NN IN !$165/NN IN NNS IN NN IN JJ NN NN
$167	NN !$167/JJ
$168	VV CD NN IN DT NP NP SYM IN !$168/NN IN NN NN NNS
$168.00	IN !$168.00/NN
$169	JJ NN NN NN NN IN !$169/NN RB
$169.00	IN !$169.00/NN
$17.47	IN !$17.47/JJ
$17.49	JJ NN JJ IN !$17.49/NN
$17.62	RB IN RB !$17.62/JJ
$17.80	NNS JJ NN IN !$17.80/NN
$17.84	!$17.84/NN IN NN NN
$17.97	IN !$17.97/JJ
$17.99	VV DT JJ NN IN DT VVG IN RB NN CC NN IN !$17.99/NN
$170	VV !$170/JJ
$172.45	NN NN NN NN IN !$172.45/NN
$174.99	RB !$174.99/JJ IN NN NN NN NN SYM JJ NN
$175	VV CD NN IN NN NN NNS SYM JJ NN IN !$175/JJ NP NN
$175.49	IN !$175.49/NN
$1750	VV !$1750/NN IN NN NNS NN
$177.77	NP NP NN NN VVN IN !$177.77/JJ
$177.99	VVN NN NN CD NN IN !$177.99/NN
$178.99	CD NN SYM NN NNS IN !$178.99/NN
$179	NN NN IN !$179/NN
$179.95	NN NN IN !$179.95/NN
$179.97	NN NN JJ NN IN !$179.97/JJ
$179.99	NN IN !$179.99/NN
$18	NN VV NNS IN !$18/NP SYM JJ NN NN
$18.17	VV !$18.17/JJ
$18.50	CD IN NN CC CD IN !$18.50/NN
$18.97	NN NN JJ NN CD IN !$18.97/JJ
$18.99	VV NN NN IN !$18.99/NN
$180	!$180/NN IN NN JJ NN NN JJ NN SYM JJ CD NN NP NN
$180.00	NN DT JJ NN NN IN !$180.00/NN
$184.35	NP CD NN JJ NN IN !$184.35/NN
$185	RB IN JJ !$185/NN SYM JJ CD NN NN NNS
$185.50	NN NN NN VVN IN RB !$185.50/JJ
$187.49	NN IN !$187.49/NN
$187.50	VV NN NNS IN DT NN IN !$187.50/NN
$188	NN IN !$188/NN
$188.77	NN NN IN !$188.77/JJ
$189.00	NN NN IN !$189.00/NN
$189.97	NNS CD NN IN NN NN VV CC VV NN JJ JJ NN NN NN RB IN !$189.97/JJ
$189.99	NN IN !$189.99/NN
$19	NN NNS IN !$19/NN
$19,198	NN NN JJ NN NN IN !$19,198/NN
$19.00	IN !$19.00/NN
$19.48	VV NNS NN NN NN IN !$19.48/NN
$19.49	IN !$19.49/NN
$19.50	!$19.50/JJ NN
$19.59	!$19.59/NN IN JJ NN NNS
$19.86	IN !$19.86/NN
$19.88	RB IN !$19.88/NN
$19.90	VV PP IN !$19.90/NN
$19.95	VV CD NN IN NP NN JJ NNS RB IN JJ NN SYM NNS IN !$19.95/NN
$19.96	NN NN JJ NNS IN !$19.96/NP SYM JJ JJ NN JJ NN
$19.97	IN !$19.97/JJ
$19.99	!$19.99/NN IN NN NN
$19.99+	VV NN IN DT NN !$19.99+/NN
$19/	NN NN NNS IN !$19//JJ NN
$190	VV !$190/NN IN DT NN NN NN
$191	!$191/JJ NN
$192	!$192/JJ NN
$194.99	NN IN !$194.99/NP SYM CD NN IN JJ NN NNS
$196.99	NN VVN NP CD NN NN IN !$196.99/NN
$199	VV JJ JJ NN NN NN NN RB IN !$199/NN
$199.50	NN NN NN IN !$199.50/NN
$199.60	RB IN !$199.60/NN IN JJ NN
$199.88	NP NP CD NN NN VVN IN !$199.88/NP
$199.95	RB IN RB !$199.95/JJ
$199.99	VV JJ NN NN NN IN !$199.99/NN IN JJ NN
$1998	VV !$1998/NN IN JJ JJ NN NN NN JJ NN NN VVD NN IN NN
$1for	!$1for/NN DT JJ JJ NN NN NN
$2	VV !$2/NN IN RB
$2,000	PP MD VV CD IN CD !$2,000/NN NN NN
$2,122	NP CD NN NN NN NN NN IN !$2,122/NN
$2.00	VV !$2.00/NN IN NN
$2.04	VV !$2.04/NN IN JJ NN CC JJ NNS NN
$2.14	VV JJ NN NN VVN IN RB !$2.14/JJ WRB PP VVP NN
$2.19	NNS NN IN !$2.19/NN DT
$2.29	VV DT NN JJ VVN NNS IN !$2.29/NN
$2.49	NN NN IN !$2.49/NN
$2.5	VV JJ JJ NNS NN IN JJ !$2.5/NN
$2.50	NN NN NN IN JJ !$2.50/NN
$2.59	JJ NN NN IN JJ NN IN !$2.59/NN
$2.69	IN !$2.69/NN
$2.77	NN VVZ IN !$2.77/JJ
$2.95	NNS NN VVZ IN !$2.95/NN
$2.96	VV NN JJ NN IN !$2.96/NN
$2.97	IN !$2.97/JJ
$2.99	VVP DT NN IN JJ !$2.99/NN
$2.99/	NN NN NN IN !$2.99//JJ NN IN CD RB
$20	VV !$20/NN IN PP$ NN IN NN
$20+	IN NNS !$20+/JJ NN RB
$20-$75	VV DT JJ NN NN NN NN IN !$20-$75/NN
$20.00	VV NN IN PP$ JJ NN IN !$20.00/NN IN DT JJ NN NNS
$20.14	VV JJ NN NN VVN IN RB JJ WRB PP VVP !$20.14/NN
$20.50	CD IN NN CC CD IN !$20.50/JJ
$20.92	JJ !$20.92/NN
$20.99	CD MD VV IN !$20.99/NN
$200	VV !$200/NN
$200+	VV CD NN IN WRB PP VVP !$200+/NN
$200.00	NN CC VV DT NN IN PP$ NP NN IN !$200.00/NN
$2000	NN NN NN VVP CD IN CD !$2000/NN NN IN NP NP CD
$205	NN !$205/NN
$209.99	VVN NN NN NN JJ NN NN IN !$209.99/NN
$21	VV CD NN IN JJ NNS SYM JJ NN IN !$21/JJ NNS
$21+	VV JJ NN IN NNS IN !$21+/NN
$21.15	JJ CD NN IN DT NN NN IN !$21.15/NN
$21.25	IN !$21.25/NN IN NN IN NN
$21.50	RB TO !$21.50/NN IN NNS IN PP$ NN CC NN NNS
$21.60	IN !$21.60/NN
$21.90	!$21.90/JJ NN
$21.99	VV NP NP NN NN IN !$21.99/NN IN NN
$210	VV JJ !$210/NN IN PP$ NN
$215	VVN IN !$215/NN
$219.00	IN !$219.00/NN
$219.99	NN NN NN NNS JJ JJ NN IN !$219.99/NN VVN
$21or	JJ NN IN NNS IN !$21or/NN RBR
$22	JJ JJ NN IN !$22/NN
$22.26	IN !$22.26/NN
$22.29	JJ NN IN !$22.29/NN
$22.49	JJ NN IN !$22.49/NN
$22.50	CD IN NN CC CD IN !$22.50/NN
$22.94	!$22.94/NN IN NN NN NN
$22.94)in-store	!$22.94)in-store/NNS SYM CD NN IN NNS
$22.98	CD MD VV IN !$22.98/NN
$22.99	NN NN NN IN JJ !$22.99/NN
$220	VV !$220/NN IN NN NN NN
$224.46	!$224.46/NN
$224.98	JJ NN NN IN JJ NN NN IN !$224.98/NN
$225	!$225/NN IN NP CD VVD JJ JJ NN
$225.00	JJ NN NN JJ NN NN IN !$225.00/NN RB
$227	DT !$227/JJ NN
$229	NN CD PP !$229/JJ NN
$229.25	NN IN !$229.25/JJ NN SYM CD NN IN NN NNS NN JJ CD NN
$229.99	VV NN NN NN JJ NNS NN IN JJ IN !$229.99/NN
$2298	NN !$2298/NN
$2299.99	!$2299.99/NN IN NN
$23	CD IN NN CC CD IN !$23/NN
$23.48	IN !$23.48/NN
$23.49	JJ NN JJ IN !$23.49/NN
$23.50	CD IN !$23.50/NN CC CD IN NN
$23.55	IN !$23.55/NN
$23.80	IN !$23.80/NN
$23.87	VBD !$23.87/JJ
$23.97	IN !$23.97/JJ
$23.99	VV CD NN CD VVG NNS IN !$23.99/NN
$230	VV !$230/NN CC CD NN IN JJ NNS
$2300	VV !$2300/JJ
$2301	VV RP TO !$2301/NN IN JJ JJ NN NNS
$234.05	IN !$234.05/NN
$235.98	NN NN NN NNS JJ IN !$235.98/NN
$237.99	NN JJR JJ NN VVN IN !$237.99/NN
$239.99	NN CD VVP NN NN NN IN !$239.99/NN
$24	!$24/JJ NNS IN CD NNS RB
$24.11	NN NN NN VVP IN NN IN NN NNS IN !$24.11/NN
$24.28	IN !$24.28/NN
$24.40	IN !$24.40/NN
$24.72	DT JJ NN IN !$24.72/NN
$24.88	RB IN !$24.88/NN
$24.95	VV CD NN IN !$24.95/JJ NN IN NP NN
$24.97	NN NN JJ NN IN !$24.97/JJ
$24.98	NN IN !$24.98/NN
$24.99	IN !$24.99/NN
$240	VV !$240/NN IN NN NN IN NN JJ JJ NN NN
$243.99	JJ NN NP NN NN IN !$243.99/NN
$246.33	IN !$246.33/NN
$249	VV !$249/NN IN NN CD NN JJ NN
$249.00	!$249.00/JJ JJ JJ NN NN NN NN NN SYM CD NN IN NN NN JJ NN NN
$249.95	NN JJ NN NN RB IN !$249.95/NN
$249.99	NP NN NN IN !$249.99/NP SYM CD NN IN JJ JJ NNS IN NP
$25	VV NN IN PP$ NN IN !$25/NN CC JJR
$25+	VV NN IN NNS !$25+/JJ
$25-$55	VV !$25-$55/NN IN VVG VV SYM RB TO CD NN IN NN
$25.00	VV CD NN IN NNS IN !$25.00/JJ NN CC JJR
$25.31	IN !$25.31/NN
$25.49	NN NN NN CD NN JJ NN IN !$25.49/NN
$25.50	CD IN NN CC CD IN !$25.50/NN
$25.80	NN NN VVN IN RB !$25.80/JJ
$25.99	CD NNS IN NN IN !$25.99/NN
$25/	NN IN !$25//JJ NN
$250	VV DT !$250/JJ NN NN NN
$250+	CC VV JJ NN JJ CC JJ NN IN NN IN !$250+/JJ NN
$256	VV !$256/JJ
$258	VVN NNS JJ JJ JJ NN IN !$258/NN
$26	NN TO NN !$26/NN
$26.19	IN !$26.19/NN
$26.84	NP NN NN NN NN IN !$26.84/NN
$26.86	IN !$26.86/NN
$26.99	JJ NN NN IN CD IN JJ !$26.99/NN
$260	VV RP TO !$260/NN IN JJ NN
$269	!$269/NN
$269.95	NN IN !$269.95/NN
$269.99	RB IN RB !$269.99/JJ
$2698	NN !$2698/NN
$27	!$27/JJ NN
$27.18	IN !$27.18/NN
$27.50	CD IN !$27.50/NN CC CD IN NN
$27.77	IN !$27.77/JJ
$27.80	NNS IN !$27.80/NP SYM IN RB TO CD NN IN JJ NNS
$27.84	MD NP NP NP JJ NN JJ NN NN !$27.84/NN
$27.94	VV CD NN JJ NN SYM JJ NN NNS VVG IN !$27.94/NN
$27.99	NN NN NN IN !$27.99/NN
$275.76	JJ NN NP NN NN IN JJ !$275.76/NN
$279	NN NN NN NNS IN !$279/NP SYM IN RB TO CD NN JJ NN SYM JJ CD NN RP IN NP NN
$279.99	RB IN JJ !$279.99/NN SYM JJ NN
$28	CD IN !$28/NN CC CD IN NN
$28.34	JJ DT JJ JJ NN IN !$28.34/NN
$28.49	JJ NN JJ IN !$28.49/NN
$28.50	CD IN !$28.50/NN
$28.78	VV !$28.78/NN IN NN NN NN NN NN
$28.88	NP NP JJ NN VVN IN RB !$28.88/JJ
$28.95	NNS CD IN !$28.95/JJ
$28.99	NN NN NN NN JJ NN VVN NN IN !$28.99/NN
$280.41	NN NN IN !$280.41/JJ
$284	!$284/NN IN NP NP JJ JJ NN IN NN NN
$289.99	NN IN !$289.99/NN
$29	NNS IN !$29/NN CC IN NN
$29.25	NP NN IN !$29.25/NN
$29.50	!$29.50/NN IN JJR NN IN CD NN IN JJ NN
$29.88	JJ NN NN NN VVN IN JJ !$29.88/NN
$29.89	IN !$29.89/NN
$29.94	VV CD NN IN NNS JJ NN NN RB IN !$29.94/NN
$29.95	VV DT JJ NN IN NP NN NN SYM NN CC VV NNS RB CD IN !$29.95/NP SYM JJ NN NN IN NN
$29.96	!$29.96/JJ JJ NNS NN IN CD NN RB SYM CD NN IN JJ NNS NN NN
$29.97	NN NN NN JJ NN NN IN !$29.97/JJ
$29.98	VV CD NN IN JJ NNS IN !$29.98/NP SYM RB TO CD NN IN DT NN JJ CD NN IN DT NP NN NNS
$29.99	!$29.99/JJ NN NN NN
$29.99-$39.99	NNS IN !$29.99-$39.99/NN CC CD NN IN JJ NN JJ NN
$298	NP CD JJ VVN NN NN IN RB !$298/JJ
$299	RB !$299/JJ
$299.00	NNS NNS VVD NN IN CD NNS IN !$299.00/NN
$299.97	!$299.97/JJ IN NN CD JJ CD NN NN IN DT NN
$299.99	RB IN !$299.99/NN
$3	VV !$3/NN IN PP$ JJ NN IN NN CC JJR
$3.00	VV !$3.00/NN IN DT NN
$3.14	!$3.14/NN IN JJ NN CC NP NN
$3.39	IN !$3.39/NN
$3.47	IN !$3.47/JJ
$3.49	NNS JJ NNS IN !$3.49/NN
$3.50	NN NNS !$3.50/NN DT
$3.69	NN NNS IN !$3.69/NN CC VV PP
$3.75	!$3.75/NN RB SYM JJR NNS
$3.89	IN !$3.89/NN
$3.90	VV CD NN IN NNS NN NNS SYM NN IN !$3.90/NN
$3.95	!$3.95/JJ DT
$3.99	!$3.99/NN IN NN
$30	VV NN IN DT !$30/JJ NN
$30+	VV CD NN IN NN IN !$30+/JJ NNS
$30.00	VV DT JJ NN NN NN IN DT NN NN IN !$30.00/NN CC JJR
$30.25	!$30.25/NN IN NN NN NN NP CD NN NN
$30.59	IN !$30.59/NN
$30.99	RB !$30.99/JJ CC JJ NN NN CC VV
$30/	DT JJ NNS IN !$30//JJ NN
$300	NNS VVG IN NP SYM DT JJ CD NNS IN NN MD VV RP TO !$300/NN IN PP$ NN
$305.98	IN !$305.98/NN
$31	VV !$31/JJ IN JJ NN NNS
$31.31	IN !$31.31/JJ
$31.97	IN !$31.97/JJ
$31.99	VV JJR JJ NN NN NN IN !$31.99/NN
$310	VV !$310/NN IN JJ NN NN NN
$312.21	IN !$312.21/NN
$315	VV !$315/NN IN NP NP NP NN NNS
$319	VVN NN CD IN !$319/NN
$319.99	IN !$319.99/NN
$31purchase	IN !$31purchase/NN
$32	!$32/JJ NN
$32.25	IN !$32.25/NN
$32.43	DT JJ NN IN !$32.43/NN
$32.50	CD IN NN CC CD IN !$32.50/NN
$32.59	IN !$32.59/NN
$32.92	JJ NN IN !$32.92/NN
$32.99	NN NN NN IN JJ !$32.99/NN
$320	RB RB VV !$320/NN IN JJ NNS
$324.86	NN NN JJ JJ NN IN !$324.86/NN
$325	JJ IN !$325/NN
$329	NN CD CD NN NN NN IN !$329/NN
$33	VV JJ JJ NN NN JJ NN IN CD NN NNS IN RB !$33/JJ
$33.14	IN !$33.14/NN
$33.33	JJ IN !$33.33/NP SYM JJ NN
$33.40	RB !$33.40/JJ SYM JJ NN
$33.50	CD IN !$33.50/NN CC CD IN NN
$331	!$331/JJ
$339.99	IN !$339.99/NN
$34	VV CD NN JJ NN SYM JJ NN IN PP$ NN IN !$34/NN
$34.02	IN !$34.02/NN
$34.16	IN !$34.16/NN
$34.44	IN !$34.44/NN
$34.87	VV NN NN JJ NN CC VV JJR IN !$34.87/JJ
$34.95	VV NN JJ NN NN IN NNS IN !$34.95/NN IN NN
$34.99	IN !$34.99/NN
$345	JJ !$345/NN
$349	NN IN NN IN !$349/NN
$349.00	VV JJ JJ NN CD NN NN NN NN IN !$349.00/NN
$349.99	JJ VVN NN NNS IN !$349.99/NN
$35	CD IN !$35/NN
$35+	VV CD NN IN NNS IN !$35+/NN
$35.00	VV DT JJ JJ NN WRB PP VVP NN NN IN !$35.00/NN CC JJR
$35.50	CD IN !$35.50/NN
$35.92	NN NN VVP NN IN !$35.92/NN
$35.98	VV NN NNS NN JJ NN NN NN NN IN !$35.98/NN
$35.99	!$35.99/JJ IN CD IN CD JJ NN NN NN JJ IN NNS IN JJ NN
$350	NN VV CD NN IN NNS IN !$350/NN
$36	VV CD NN IN NNS JJ NN NN NNS IN !$36/NN
$36.46	VV JJ JJ NN NN IN RB !$36.46/JJ
$36.50	IN DT IN PP$ !$36.50/JJ NN
$36.94	JJ !$36.94/NN
$36.99	VV IN !$36.99/NN
$360	VV RP TO !$360/NN IN JJ NN SYM RB TO CD NN IN JJ NN
$37	NN NN CC NN !$37/JJ
$37.00	IN RB !$37.00/JJ
$37.95	!$37.95/JJ NN
$37.99	VV NN NN JJ NN VVN IN !$37.99/NN
$379	!$379/NN IN NN NN NP CD NN NN
$38	VV NN NN IN JJ !$38/NN SYM JJ NN
$38.41	NN NN NN NN NN IN !$38.41/NN
$38.50	VVP CD JJ NN NN SYM JJ NNS CD IN !$38.50/NN
$38.98	VV NN NNS NN VVG NN NN CD CD NNS IN !$38.98/NN
